Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
31-Jul-24,Wednesday,July,Q3,2024,EQ,555.25,558.7,551,554.7,557,556.8,555.5,580,225.25,6337213,58679
30-Jul-24,Tuesday,July,Q3,2024,EQ,553.8,562.5,547.25,552.85,552.75,554.7,555.35,580,225.25,10069484,158019
29-Jul-24,Monday,July,Q3,2024,EQ,539,554.85,537,538.95,553,552.85,545.96,580,225.25,11024457,106652
26-Jul-24,Friday,July,Q3,2024,EQ,529.95,541.35,521.1,525.05,538.9,538.95,533.79,580,225.25,9126406,113296
25-Jul-24,Thursday,July,Q3,2024,EQ,521,527.3,514.75,525.1,526.95,525.05,521.2,580,225.25,6448853,88698
24-Jul-24,Wednesday,July,Q3,2024,EQ,523.55,537.25,520.05,523.55,525.75,525.1,527.98,580,225.25,9022966,123196
23-Jul-24,Tuesday,July,Q3,2024,EQ,546.5,551.85,505,544.6,524.5,523.55,528.96,580,225.25,22524978,292401
22-Jul-24,Monday,July,Q3,2024,EQ,528,547.7,526.2,533.7,546,544.6,540.98,580,225.25,8561902,114547
19-Jul-24,Friday,July,Q3,2024,EQ,544,552,532,547.6,532.95,533.7,539.52,580,220.05,10053221,134747
18-Jul-24,Thursday,July,Q3,2024,EQ,548,556.85,534.05,549.55,547.9,547.6,544.84,580,220.05,12703877,131741
16-Jul-24,Tuesday,July,Q3,2024,EQ,559,561.65,546,558,550,549.55,552.36,580,220.05,7358534,103470
15-Jul-24,Monday,July,Q3,2024,EQ,560.9,566.35,553.45,555.15,558.9,558,558.79,580,220.05,12094299,125865
12-Jul-24,Friday,July,Q3,2024,EQ,573.6,580,548.05,570.6,555.5,555.15,563.71,580,217.6,13831121,194422
11-Jul-24,Thursday,July,Q3,2024,EQ,565.85,573.8,559.8,560.8,571,570.6,568.84,573.8,217.6,10824586,119733
10-Jul-24,Wednesday,July,Q3,2024,EQ,552,567.6,535,550.15,561.25,560.8,557.25,567.6,217.6,23340064,210531
09-Jul-24,Tuesday,July,Q3,2024,EQ,552.5,556.5,541.55,549.75,550,550.15,549.97,559.75,217.6,13179449,160128
08-Jul-24,Monday,July,Q3,2024,EQ,538,559.75,536.4,534.25,549.8,549.75,548.57,559.75,217.6,20739673,290211
05-Jul-24,Friday,July,Q3,2024,EQ,534,539.45,529.35,533.65,535.5,534.25,535.11,559,215.5,10395660,116512
04-Jul-24,Thursday,July,Q3,2024,EQ,536.8,544.75,530.7,531.05,534,533.65,536.55,559,215.5,17103459,153084
03-Jul-24,Wednesday,July,Q3,2024,EQ,513.5,533.25,510.5,502.65,528.9,531.05,525.42,559,215.5,33571765,298669
02-Jul-24,Tuesday,July,Q3,2024,EQ,502.3,506.8,495.6,501.25,502.6,502.65,502.38,559,215.5,26068619,276974
01-Jul-24,Monday,July,Q3,2024,EQ,493.05,503,486.55,485.1,500.5,501.25,495.87,559,215.5,16866460,157621
28-Jun-24,Friday,June,Q2,2024,EQ,481,488.6,479.75,479.75,484.65,485.1,483.83,559,198.1,8405233,101738
27-Jun-24,Thursday,June,Q2,2024,EQ,478,491.75,476.45,480.05,480.1,479.75,482.8,559,198.1,15956471,174492
26-Jun-24,Wednesday,June,Q2,2024,EQ,481.55,486.35,479.15,483.7,479.75,480.05,481.93,559,198.1,10636903,100755
25-Jun-24,Tuesday,June,Q2,2024,EQ,488,490.55,480,487.75,482.6,483.7,483.84,559,198.1,13567964,147938
24-Jun-24,Monday,June,Q2,2024,EQ,481,489.45,472.6,482.3,487.25,487.75,483.25,559,198.1,14749233,150393
21-Jun-24,Friday,June,Q2,2024,EQ,487,493.35,481,481.35,481.5,482.3,486.51,559,195.75,14067512,122680
20-Jun-24,Thursday,June,Q2,2024,EQ,495,495,477.8,499.25,482.6,481.35,482.72,559,195.75,25848843,255969
19-Jun-24,Wednesday,June,Q2,2024,EQ,508.95,511.9,494.4,507.75,499,499.25,500.95,559,195.75,8911856,99922
18-Jun-24,Tuesday,June,Q2,2024,EQ,512.5,512.6,504.5,510.05,507.3,507.75,508.48,559,195.75,12494967,148623
14-Jun-24,Friday,June,Q2,2024,EQ,506.1,511.85,500.3,503.55,509,510.05,508.27,559,194.25,13048015,111627
13-Jun-24,Thursday,June,Q2,2024,EQ,496.5,505.85,492.6,492.05,504.35,503.55,501.76,559,194.25,22583735,198722
12-Jun-24,Wednesday,June,Q2,2024,EQ,487,498.25,484.05,486.45,491.7,492.05,492.01,559,194.25,23440337,160192
11-Jun-24,Tuesday,June,Q2,2024,EQ,485.8,488.9,476.1,485.8,486.35,486.45,484.2,559,194.25,20122639,222447
10-Jun-24,Monday,June,Q2,2024,EQ,486,495.7,477,483.55,483.75,485.8,487.58,559,194.25,20853211,159203
07-Jun-24,Friday,June,Q2,2024,EQ,473,485.65,461.05,472.3,482.9,483.55,474.42,559,190.45,32944221,237540
06-Jun-24,Thursday,June,Q2,2024,EQ,455,490.85,454,447.15,472.9,472.3,477.52,559,190.45,48961426,436885
05-Jun-24,Wednesday,June,Q2,2024,EQ,444.7,450.85,395.2,426.75,444.5,447.15,426.79,559,190.45,52169722,526665
04-Jun-24,Tuesday,June,Q2,2024,EQ,544.9,544.9,416.1,554.8,434.85,426.75,459.57,559,190.45,108815947,1101873
03-Jun-24,Monday,June,Q2,2024,EQ,535.9,559,520,492.45,559,554.8,543.9,559,190.45,44287988,349603
31-May-24,Friday,May,Q2,2024,EQ,505,512.25,479.5,500.45,493.6,492.45,490.45,524.35,172.15,31653901,247249
30-May-24,Thursday,May,Q2,2024,EQ,510,516,497.05,510.1,503.95,500.45,506.87,524.35,172.15,14291676,132890
29-May-24,Wednesday,May,Q2,2024,EQ,512.95,524.35,508.65,517.15,509.2,510.1,514.19,524.35,172.15,18529334,190557
28-May-24,Tuesday,May,Q2,2024,EQ,517.5,521.3,500.3,513.2,514.55,517.15,513.04,521.3,172.15,21588367,199618
27-May-24,Monday,May,Q2,2024,EQ,499,521.3,496,491.65,514.5,513.2,509.95,521.3,172.15,33290103,290783
24-May-24,Friday,May,Q2,2024,EQ,469.5,499.4,465.4,467.25,492.55,491.65,488.11,499.4,164.1,33498606,235755
23-May-24,Thursday,May,Q2,2024,EQ,465,475,461.6,464.6,467.15,467.25,470.16,485.5,164.1,12732877,87809
22-May-24,Wednesday,May,Q2,2024,EQ,471.4,471.4,458,469.1,464,464.6,464.56,485.5,164.1,8295209,83810
21-May-24,Tuesday,May,Q2,2024,EQ,465.1,471.1,460.2,465.95,467.25,469.1,466.71,485.5,164.1,10578500,134402
18-May-24,Saturday,May,Q2,2024,EQ,470.75,472.8,464.1,468.1,464.9,465.95,468.3,485.5,163,2287885,23280
17-May-24,Friday,May,Q2,2024,EQ,457.3,469.3,454,454.8,468.3,468.1,463.52,485.5,163,16122079,136460
16-May-24,Thursday,May,Q2,2024,EQ,443,457,439.05,436.55,454,454.8,450.73,485.5,163,35263613,246235
15-May-24,Wednesday,May,Q2,2024,EQ,423.6,441.4,422.7,421.6,436.8,436.55,435.55,485.5,163,29319985,194174
14-May-24,Tuesday,May,Q2,2024,EQ,419.7,426.2,416.6,416.5,421.4,421.6,420.78,485.5,163,12097891,131743
13-May-24,Monday,May,Q2,2024,EQ,419,421.3,402.95,417.65,417.95,416.5,413.19,485.5,163,13617829,99597
10-May-24,Friday,May,Q2,2024,EQ,423,425.3,407.7,418.05,419,417.65,417.71,485.5,158.65,14527463,119410
09-May-24,Thursday,May,Q2,2024,EQ,439.6,441.35,416.5,440.9,418.95,418.05,425.87,485.5,158.65,15867846,138288
08-May-24,Wednesday,May,Q2,2024,EQ,421,445.45,421,421.55,441,440.9,439.69,485.5,158.65,29249669,216462
07-May-24,Tuesday,May,Q2,2024,EQ,440,441,415.3,437.8,421.5,421.55,427.39,485.5,158.65,25818752,241023
06-May-24,Monday,May,Q2,2024,EQ,456.5,458.85,416.55,480.45,437.45,437.8,438.6,485.5,158.65,66897875,495132
03-May-24,Friday,May,Q2,2024,EQ,471,485.5,468.15,467.85,481.6,480.45,479.03,485.5,158.65,28996180,216776
02-May-24,Thursday,May,Q2,2024,EQ,448.15,476.75,443.15,441.55,467.5,467.85,466.49,477.8,158.65,55752960,422382
30-Apr-24,Tuesday,April,Q2,2024,EQ,419.4,447.45,416.5,415.5,439.5,441.55,433.07,477.8,158.65,53552269,344268
29-Apr-24,Monday,April,Q2,2024,EQ,409.8,416.25,406.15,406.15,415.95,415.5,412.2,477.8,158.65,9486965,71395
26-Apr-24,Friday,April,Q2,2024,EQ,409.5,412,405.1,407.05,406.4,406.15,407.96,477.8,155.8,10419494,87935
25-Apr-24,Thursday,April,Q2,2024,EQ,400.3,408,399,402.05,407,407.05,404.99,477.8,155.8,7978814,66261
24-Apr-24,Wednesday,April,Q2,2024,EQ,401,405.45,398.25,399.1,400.2,402.05,402.03,477.8,155.8,6066000,64041
23-Apr-24,Tuesday,April,Q2,2024,EQ,406.7,406.85,398.05,404.35,399.1,399.1,400.98,477.8,155.8,7401920,84753
22-Apr-24,Monday,April,Q2,2024,EQ,402.2,408.25,400.25,398.65,404.95,404.35,404.55,477.8,155.8,7457201,64474
19-Apr-24,Friday,April,Q2,2024,EQ,392.95,400.4,385.1,395.45,398.5,398.65,395.41,477.8,155.8,8788592,108565
18-Apr-24,Thursday,April,Q2,2024,EQ,398.25,407.25,393.05,396.55,397.65,395.45,401.57,477.8,155.8,7589176,67752
16-Apr-24,Tuesday,April,Q2,2024,EQ,388.2,399.4,385,392.4,397.45,396.55,393.33,477.8,155.8,10543004,136961
15-Apr-24,Monday,April,Q2,2024,EQ,395,399.85,387.6,403,392.85,392.4,394.4,477.8,155.8,7965565,90659
12-Apr-24,Friday,April,Q2,2024,EQ,405.9,410,402,406.65,403.05,403,406.27,477.8,155.8,7368214,95525
10-Apr-24,Wednesday,April,Q2,2024,EQ,403,410.9,403,402.75,406.95,406.65,407.57,477.8,155.8,6580214,54986
09-Apr-24,Tuesday,April,Q2,2024,EQ,412,414.35,400.35,410.35,403,402.75,405.42,477.8,155.8,8624425,81223
08-Apr-24,Monday,April,Q2,2024,EQ,419,420.45,409.25,416.8,411,410.35,413.98,477.8,155.8,9705827,85585
05-Apr-24,Friday,April,Q2,2024,EQ,415,418.65,408,415,416.5,416.8,414.6,477.8,151.65,7609006,76310
04-Apr-24,Thursday,April,Q2,2024,EQ,420.1,426.9,412,417.25,416.45,415,419.55,477.8,151.65,14146848,94800
03-Apr-24,Wednesday,April,Q2,2024,EQ,405,418.2,402.85,407.55,417.6,417.25,414.32,477.8,151.65,10346790,94751
02-Apr-24,Tuesday,April,Q2,2024,EQ,402.95,408.45,395.35,401.2,406.5,407.55,404,477.8,151.65,8003458,85899
01-Apr-24,Monday,April,Q2,2024,EQ,395,404.8,393.05,390.25,401.05,401.2,401.21,477.8,151.65,9276678,118034
28-Mar-24,Thursday,March,Q1,2024,EQ,384.55,394.2,384.55,384.5,391.55,390.25,390.44,477.8,145.4,12411711,107322
27-Mar-24,Wednesday,March,Q1,2024,EQ,397,400.15,380.25,394.95,384.2,384.5,386.51,477.8,145.4,28752085,149353
26-Mar-24,Tuesday,March,Q1,2024,EQ,385.55,396,385.55,391.65,395.4,394.95,392.36,477.8,145.4,10930109,135323
22-Mar-24,Friday,March,Q1,2024,EQ,384.35,394.8,379,386.75,391.3,391.65,388.01,477.8,145.4,13733411,130836
21-Mar-24,Thursday,March,Q1,2024,EQ,368.6,388.5,368,361.5,386.85,386.75,382.81,477.8,145.4,22051088,171895
20-Mar-24,Wednesday,March,Q1,2024,EQ,364.9,367,351.7,362.55,361.5,361.5,359.56,477.8,145.4,13037554,132195
19-Mar-24,Tuesday,March,Q1,2024,EQ,375.1,376.8,360.1,374.85,362.2,362.55,365.56,477.8,145.4,15002148,231952
18-Mar-24,Monday,March,Q1,2024,EQ,377.05,387.75,371.4,381,375.75,374.85,377.96,477.8,145.4,12079910,133543
15-Mar-24,Friday,March,Q1,2024,EQ,399.75,401,370.3,399.75,380.65,381,381.41,477.8,145.4,29682116,274440
14-Mar-24,Thursday,March,Q1,2024,EQ,397,407.4,390.8,397.6,400.2,399.75,400.55,477.8,145.4,18459269,178085
13-Mar-24,Wednesday,March,Q1,2024,EQ,429.85,429.95,392.35,429.05,397,397.6,404.69,477.8,145.4,18357786,176265
12-Mar-24,Tuesday,March,Q1,2024,EQ,434,435.05,423.35,432.55,427.9,429.05,428.74,477.8,145.4,15842050,152585
11-Mar-24,Monday,March,Q1,2024,EQ,429.75,433.9,424.35,429.75,430.85,432.55,430.47,477.8,145.4,16623737,119554
07-Mar-24,Thursday,March,Q1,2024,EQ,424.5,433.35,424.5,424.2,429.6,429.75,430.04,477.8,145.4,12256331,77467
06-Mar-24,Wednesday,March,Q1,2024,EQ,424.9,432.3,414,417.35,423.45,424.2,423.25,477.8,145.4,19232334,159919
05-Mar-24,Tuesday,March,Q1,2024,EQ,419.9,425.65,416.5,421.55,417.8,417.35,420.05,477.8,145.4,7545389,93485
04-Mar-24,Monday,March,Q1,2024,EQ,416.95,422.6,410.55,415.5,420,421.55,419.49,477.8,145.4,10217240,156396
02-Mar-24,Saturday,March,Q1,2024,EQ,415.6,419.5,413.7,413.25,415.5,415.5,415.44,477.8,139.9,751186,8563
01-Mar-24,Friday,March,Q1,2024,EQ,401.5,415.9,401.5,400.7,413,413.25,412.09,477.8,139.9,10009056,96363
29-Feb-24,Thursday,February,Q1,2024,EQ,389,403.45,388.35,389.5,400.5,400.7,397.9,477.8,139.9,18634970,136517
28-Feb-24,Wednesday,February,Q1,2024,EQ,401.35,401.5,387.4,401.5,389,389.5,394.47,477.8,139.9,11522019,113086
27-Feb-24,Tuesday,February,Q1,2024,EQ,407.3,410.95,394.15,411.45,400.8,401.5,402.73,477.8,139.9,16060760,236848
26-Feb-24,Monday,February,Q1,2024,EQ,411.85,416.5,405.65,412.9,411,411.45,410.44,477.8,139.9,14668409,150832
23-Feb-24,Friday,February,Q1,2024,EQ,417.5,419.5,411.25,415.6,412.9,412.9,415.47,477.8,139.9,6086377,73314
22-Feb-24,Thursday,February,Q1,2024,EQ,412,417.2,399.65,412.4,416.5,415.6,407.67,477.8,139.9,12734235,142325
21-Feb-24,Wednesday,February,Q1,2024,EQ,426,430,411,426.1,411.85,412.4,418.82,477.8,139.9,7818084,201310
20-Feb-24,Tuesday,February,Q1,2024,EQ,426.5,430.8,422.1,431.15,426.8,426.1,426.49,477.8,139.9,6734331,96949
19-Feb-24,Monday,February,Q1,2024,EQ,433.75,442.95,430,433.7,431.75,431.15,435.88,477.8,139.9,5880131,71556
16-Feb-24,Friday,February,Q1,2024,EQ,437.8,437.8,427.1,435.45,432.5,433.7,432.29,477.8,136.7,8544311,186293
15-Feb-24,Thursday,February,Q1,2024,EQ,437.05,438.4,430.05,434.6,435.35,435.45,434.21,477.8,136.7,6467934,157000
14-Feb-24,Wednesday,February,Q1,2024,EQ,416,437.95,411.05,420.5,434.85,434.6,426.15,477.8,136.7,11114379,272274
13-Feb-24,Tuesday,February,Q1,2024,EQ,419.9,426.7,414.6,424.15,420.5,420.5,421.25,477.8,136.7,14073386,322010
12-Feb-24,Monday,February,Q1,2024,EQ,429,435.25,412.95,428.85,424,424.15,423.28,477.8,136.7,30349202,467595
09-Feb-24,Friday,February,Q1,2024,EQ,463,463,406.75,468.55,429.5,428.85,426.03,477.8,136.7,56589108,572873
08-Feb-24,Thursday,February,Q1,2024,EQ,470.95,477.8,464.15,469,467.15,468.55,469.39,477.8,136.7,14788511,111156
07-Feb-24,Wednesday,February,Q1,2024,EQ,451,469.9,451,454,468.8,469,462.59,469.9,136.7,11983832,94410
06-Feb-24,Tuesday,February,Q1,2024,EQ,461.3,461.3,445.1,458.15,454.2,454,452.37,464.5,136.7,9403608,110070
05-Feb-24,Monday,February,Q1,2024,EQ,454.8,464.5,447.8,450.8,460,458.15,457.89,464.5,136.7,15932526,122812
02-Feb-24,Friday,February,Q1,2024,EQ,448.1,461.5,448.1,445.75,450.3,450.8,454.74,461.5,134.1,13316207,103834
01-Feb-24,Thursday,February,Q1,2024,EQ,447,449.5,439.45,443.25,445.95,445.75,445.01,453.7,134.1,12778899,107459
31-Jan-24,Wednesday,January,Q1,2024,EQ,442.3,445.3,437.1,444.9,444.15,443.25,440.56,453.7,134.1,12612238,158476
30-Jan-24,Tuesday,January,Q1,2024,EQ,450,453.7,440.75,446.75,444.9,444.9,445.39,453.7,134.1,18743455,159287
29-Jan-24,Monday,January,Q1,2024,EQ,422.95,448.45,421.6,419,447.35,446.75,440.36,448.45,134.1,38320305,292539
25-Jan-24,Thursday,January,Q1,2024,EQ,424.95,425.65,414.15,421.75,419.75,419,420.09,430.3,133.05,12426317,106439
24-Jan-24,Wednesday,January,Q1,2024,EQ,399,422.95,390.05,395.55,422.1,421.75,413.75,430.3,133.05,26232960,192354
23-Jan-24,Tuesday,January,Q1,2024,EQ,430,430.3,382.5,418.9,398.25,395.55,407.56,430.3,133.05,28172910,232009
20-Jan-24,Saturday,January,Q1,2024,EQ,415,425.3,413.7,412.35,417.5,418.9,421.31,428.75,133.05,16664726,113028
19-Jan-24,Friday,January,Q1,2024,EQ,397,413.6,396.15,392.7,412.4,412.35,406.18,428.75,133.05,16111152,134146
18-Jan-24,Thursday,January,Q1,2024,EQ,393.05,396.5,379.2,392.55,394.4,392.7,389.02,428.75,133.05,11680203,102480
17-Jan-24,Wednesday,January,Q1,2024,EQ,395,402.45,390,400.45,394,392.55,396.38,428.75,133.05,8845319,91553
16-Jan-24,Tuesday,January,Q1,2024,EQ,409.8,413.95,394.7,409.5,401,400.45,404.68,428.75,133.05,11079183,107286
15-Jan-24,Monday,January,Q1,2024,EQ,403,412.35,399.55,401.8,409.4,409.5,406.96,428.75,133.05,10263830,89365
12-Jan-24,Friday,January,Q1,2024,EQ,397,402.75,393.1,395.5,401.95,401.8,398.32,428.75,133.05,8217329,78281
11-Jan-24,Thursday,January,Q1,2024,EQ,392.5,402.2,391.65,390.5,395.6,395.5,396.33,428.75,133.05,8305839,92622
10-Jan-24,Wednesday,January,Q1,2024,EQ,396,396,380.8,393.8,392.5,390.5,387.97,428.75,133.05,12513678,118223
09-Jan-24,Tuesday,January,Q1,2024,EQ,409.4,411.8,391.05,405.75,392.75,393.8,400.03,428.75,133.05,12629573,125678
08-Jan-24,Monday,January,Q1,2024,EQ,405.8,412.7,401.4,404,406.2,405.75,406.41,428.75,133.05,8020666,83444
05-Jan-24,Friday,January,Q1,2024,EQ,407.7,408.35,398.1,405.75,404.2,404,403.54,428.75,133.05,7735119,81261
04-Jan-24,Thursday,January,Q1,2024,EQ,397.8,409,397.1,393.1,405.9,405.75,405.17,428.75,133.05,19291259,144132
03-Jan-24,Wednesday,January,Q1,2024,EQ,389,401.3,385,389.65,393.95,393.1,393.61,428.75,133.05,13107047,101927
02-Jan-24,Tuesday,January,Q1,2024,EQ,395,395.25,382.75,395.05,390,389.65,388.62,428.75,133.05,11799148,116907
01-Jan-24,Monday,January,Q1,2024,EQ,383.9,400,381,382.6,394.4,395.05,394.7,428.75,133.05,15293334,112565
29-Dec-23,Friday,December,Q4,2023,EQ,388,389,379.5,384.9,382.4,382.6,383.33,428.75,130.5,10589854,84060
28-Dec-23,Thursday,December,Q4,2023,EQ,386.7,393.05,383.8,384.8,386.35,384.9,387.17,428.75,130.5,12371827,80839
27-Dec-23,Wednesday,December,Q4,2023,EQ,394.6,395.65,382.55,392.25,385.2,384.8,387.79,428.75,130.5,11269286,84530
26-Dec-23,Tuesday,December,Q4,2023,EQ,388,399,385.2,386.9,392.2,392.25,393.21,428.75,130.5,13629896,100645
22-Dec-23,Friday,December,Q4,2023,EQ,392,396.5,381.55,388.85,388,386.9,388.5,428.75,130.5,13356416,99803
21-Dec-23,Thursday,December,Q4,2023,EQ,376,391.85,368.35,381.85,391,388.85,378.63,428.75,130.5,23330278,170941
20-Dec-23,Wednesday,December,Q4,2023,EQ,410.2,412,376.95,408.75,379.15,381.85,394.69,428.75,130.5,22211254,169582
19-Dec-23,Tuesday,December,Q4,2023,EQ,413.9,414.75,402.05,411.8,409.6,408.75,409.03,428.75,130.5,10528820,107099
18-Dec-23,Monday,December,Q4,2023,EQ,412.3,416.7,405.75,412.3,412.8,411.8,412.23,428.75,130.5,14104514,101479
15-Dec-23,Friday,December,Q4,2023,EQ,423.3,426.3,410,423.1,413.3,412.3,414.66,428.75,130.5,19759589,153969
14-Dec-23,Thursday,December,Q4,2023,EQ,425.6,428.75,415.55,421.8,423.95,423.1,422.5,428.75,130.5,22525232,181241
13-Dec-23,Wednesday,December,Q4,2023,EQ,392.05,424,391.3,389.7,421.95,421.8,412.35,424,130.5,47230397,342288
12-Dec-23,Tuesday,December,Q4,2023,EQ,391.35,392.75,385.1,389.55,390.9,389.7,388.73,393,130.5,9651220,107817
11-Dec-23,Monday,December,Q4,2023,EQ,386,393,381.2,384.6,389.7,389.55,388.2,393,130.5,11743284,120761
08-Dec-23,Friday,December,Q4,2023,EQ,378.7,390.7,378.1,377.1,385.75,384.6,384.56,390.7,130.5,22241955,146851
07-Dec-23,Thursday,December,Q4,2023,EQ,380,381.9,374.5,378.6,377.5,377.1,377.57,387.9,130.5,9186451,80181
06-Dec-23,Wednesday,December,Q4,2023,EQ,379.1,387.9,375.8,377.25,379.5,378.6,380.38,387.9,130.5,15204248,128154
05-Dec-23,Tuesday,December,Q4,2023,EQ,373,379.4,369.7,371.7,378,377.25,375.12,386.25,130.5,16714263,172949
04-Dec-23,Monday,December,Q4,2023,EQ,382,386.25,370.95,365.15,373.25,371.7,376.99,386.25,130.5,33279982,241701
01-Dec-23,Friday,December,Q4,2023,EQ,340,368.35,337,334.9,365.8,365.15,361.44,368.35,130.5,51298211,308974
30-Nov-23,Thursday,November,Q4,2023,EQ,328.1,338.25,325.7,328.1,337.95,334.9,333.49,338.25,130.5,42144243,140428
29-Nov-23,Wednesday,November,Q4,2023,EQ,322.05,329.8,318.6,320.55,327.5,328.1,325.55,329.8,130.5,13325273,103991
